Año,Trimestre,"PBS - Tier 1
General
(Solicitante principal)","PBS - Tier 1
Inversionistas
(Solicitante principal)",PBS - Tier 1 Emprendedores (Solicitante principal),"PBS - Tier 1
Graduados emprendedores
(Solicitante principal)","PBS - Tier 1
Trabajo después de graduación
(Solicitante principal)","PBS - Tier 1
Talento excepcional
(Solicitante principal)","PBS - Tier 1
Otros
(Solicitante principal)","Trabajo después de graduación para estudiantes internacionales
(Solicitante principal)","Otros empleos que no requieren autorización -Alto valor
(Solicitante principal)","PBS - Tier 1
General
(Dependientes)","PBS - Tier 1
Inversionistas
(Dependientes)",PBS - Tier 1 Emprendedores (Dependientes),"PBS - Tier 1
Graduados emprendedores
(Dependientes)","PBS - Tier 1
Trabajo después de graduación
(Dependientes)","PBS - Tier 1
Talento excepcional
(Dependientes)","PBS - Tier 1
Otros
(Dependientes)","Otros empleos que no requieren autorización  - 
Alto valor
(Dependientes)","PBS - Tier 2
General
(Solicitante principal)","PBS - Tier 2
Transferencias intraempresarial
(Solicitante principal)","PBS - Tier 2
Transferencia intraempresarial de corta duración
(Solicitante principal)","PBS - Tier 2
Transferencia intraempresarial de larga duración
(Solicitante principal)","PBS - Tier 2
Ministros religiosos
(Solicitante principal)","PBS - Tier 2
Deportista
(Solicitante principal)","Titular de Permiso de trabajo
(Solicitante principal)","Ministros religiosos o misionarios
(Solicitante principal)","Otros empleos que no requieren autorización
Trabajador calificado
(Solicitante principal)","PBS - Tier 2 Transferencia intraempresarial
(Dependientes)","PBS - Tier 2
Transferencia intraempresarial de corta duración
(Dependientes)","PBS - Tier 2
Transferencia intraempresarial de larga duración
(Dependientes)","Poseedores de permiso de trabajo
(Dependientes)","PBS - Tier 5
Trabajadores de organizaciones benéficas
(Solicitante principal)","PBS - Tier 5
Creatividad y deporte
(Solicitante principal)","PBS - Tier 5
Intercambio con autorización gubernamental
(Solicitante principal)","PBS - Tier 5
Acuerdo internacional
(Solicitante principal)","PBS - Tier 5
Trabajadores religiosos
(Solicitante principal))","PBS - Tier 5
Movilidad juvenil
(Solicitante principal)","Sirvientes privados en residencias diplomáticas
(Solicitante principal)","Trabajadores religiosos
(Solicitante principal)","Vacacionista empleado 
(Solicitante principal)","Otros empleos que no requieren autorización
(Solicitante principal)","PBS - Tier 5
(Dependientes)","No PBS
Trabajadores domésticos en residencias privadas
(Solicitante principal)","No PBS
Antepasados de Reino Unido
(Solicitante principal)","No PBS
Otros empleos que no requieren autorización
(Solicitante principal)","No PBS
Trabajadores domésticos en residencias privadas
(Dependientes)","Otros empleos que no requieren autorización no asignados
(Solicitante principal)",Total visas de trabajo
2018,T2,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,1,0,,1,0,0,,,,0,0,3,,0,79,1,0,0,0,,,,,0,3,0,0,0,0,88
2018,T1,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0,0,,1,0,0,,,,0,0,0,,0,21,0,0,0,0,,,,,0,0,0,0,0,0,22
2017,T4,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,,,1,0,0,,0,29,1,0,0,0,,,,,0,0,0,0,0,0,31
2017,T3,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,2,0,,0,0,0,,,,3,0,0,,0,92,0,0,0,0,,,,,0,0,0,0,0,0,97
2017,T2,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,3,0,0,0,0,0,,,,1,0,0,,0,57,0,0,0,0,,,,,1,0,0,0,0,0,62
2017,T1,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,0,0,0,1,0,0,,,,0,0,0,,0,66,0,0,1,0,,,,,0,0,0,0,0,0,68
2016,T4,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,0,0,0,,0,18,1,0,0,0,,,,,0,0,0,0,0,0,20
2016,T3,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,1,0,0,1,0,0,,,,1,1,0,,0,12,1,0,0,0,,,,,0,0,0,0,0,0,17
2016,T2,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,0,0,0,,0,81,0,0,0,0,,,,,0,0,0,0,0,0,82
2016,T1,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,2,0,1,0,0,0,,,,2,0,0,,0,32,0,0,0,0,,,,,0,0,0,0,0,0,37
2015,T4,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,1,0,1,,0,22,0,1,4,0,,,,,0,0,0,0,0,0,30
2015,T3,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,0,0,0,,0,42,0,0,0,0,,,,,0,0,0,0,0,0,43
2015,T2,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,1,0,0,,0,49,0,0,0,0,,,,,0,0,0,0,0,0,51
2015,T1,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,2,1,0,1,0,0,,,,4,0,0,,0,33,0,0,0,0,,,,,0,0,0,0,0,0,41
2014,T4,,0,0,0,,0,0,,,0,0,0,0,0,0,0,,5,0,0,0,0,0,,,,0,0,0,,0,8,0,0,0,0,,,,,0,0,0,0,0,0,13
